Token			Lexeme
-------------------------------
Keyword			int
Identifier		a
Separator		;
Keyword			float
Identifier		fah$
Operator		=
Real			9.8
Separator		;
Keyword			boolean
Identifier		zd
Separator		;
Identifier		upper
Operator		=
Integer			90
Separator		;
Keyword			while
Separator		(
Identifier		fah$
Operator		<
Identifier		upper
Separator		)
Separator		{
Identifier		a
Operator		=
Real			23.00
Separator		;
Keyword			return
Integer			8
Separator		;
Separator		}
Keyword			if
Separator		(
Identifier		a
Operator		=
Integer			0
Separator		)
Identifier		a
Operator		=
Integer			1
Separator		;
Keyword			else
Separator		{
Identifier		a
Operator		=
Integer			0
Separator		;
Separator		}
