Token			Lexeme
-------------------------------
Keyword			int
Identifier		a
Separator		;
Keyword			float
Identifier		fah$
Operator		=
Real			9.8
Separator		;
Identifier		upper
Operator		=
Integer			90
Separator		;
Keyword			function
Identifier		calculate
Separator		(
Identifier		a
Separator		,
Identifier		fah$
Separator		)
Separator		{
Keyword			while
Separator		(
Identifier		fah$
Operator		<
Identifier		upper
Separator		)
Separator		{
Identifier		a
Operator		=
Real			23.00
Separator		;
Keyword			return
Identifier		a
Separator		;
Separator		}
Separator		}
