Line Number			Token			Lexeme
----------------------------------------------------
1					Unknown		%%
2					Keyword			int
2					Identifier		i
2					Separator		,
2					Identifier		max
2					Separator		,
2					Identifier		sum
2					Separator		;
4					Identifier		sum
4					Operator		=
4					Integer			0
4					Separator		;
5					Identifier		i
5					Operator		=
5					Integer			1
5					Separator		;
6					Keyword			get
6					Separator		(
6					Identifier		max
6					Separator		)
6					Separator		;
7					Keyword			while
7					Separator		(
7					Identifier		i
7					Operator		<
7					Identifier		max
7					Separator		)
7					Separator		{
8					Identifier		sum
8					Operator		=
8					Identifier		sum
8					Operator		+
8					Identifier		i
8					Separator		;
9					Identifier		i
9					Operator		=
9					Identifier		i
9					Operator		+
9					Integer			1
9					Separator		;
10					Separator		}
11					Keyword			put
11					Separator		(
11					Identifier		sum
11					Operator		+
11					Identifier		max
11					Separator		)
11					Separator		;
